 TIME | TYPE  | TITLE | STATUS | REACTIVE | COMMENTNO | SHARE |LINKS(Shared Posts/Shared Links etc) 

9/15/19, 12:33 PM | others | Phan Yến Nhi | Trải nghiệm của khách sau 1 tháng dùng kem dưỡng mắt Hanco, xóa quầng thâm, đánh tan bọng mắt. Thấy rõ là hiệu quả giảm thâm quầng rất nhiều ❤️ | 15 | 2 |  | 
9/14/19, 11:51 PM | others | Phan Yến Nhi | Sao hồi xưa đăng một tấm hình lên fb cái stt đâu mà nó nhiều ơi nhiều, chưa kịp suy nghĩ là có caption. Còn giờ nghĩ hoài hổng ra ta ơi 😔 | 663 | 15 |  | 
9/14/19, 7:42 PM | others | Phan Yến Nhi | Son kem Tutu, cứ hết là cũng phải ráng kiếm về thêm vì son quá chất lượng mà lại rẻ nữa. Có 3 màu như hình: 07-đỏ cam, 196- cam cháy, 646- cam nâu. #100k/cây, 2 cây #180k ❤️ | 52 | 7 | 1 | 
9/14/19, 6:09 PM | others | Phan Yến Nhi | Còn sẵn 3 set son sáp Thái nhé quý zị !!! Son lì, nhưng lên môi cực mịn nè ❤️ | 35 | 1 |  | 
9/14/19, 9:56 AM | added video | Phan Yến Nhi added a new video. | Xịn xịn ❤️ | 89 | 9 |  | https://www.facebook.com/yennhi.xd
9/13/19, 9:53 PM | added photo | Phan Yến Nhi added 3 new photos. | Đi chơi trung thu vẫn ôm cái điện thoại check đơn hàng tối nay ❤️ Khách cũ tin tưởng sử dụng và hiệu quả thì dần dần khách mới cũng sẽ tin tưởng đặt hàng mà không cần phải tư vấn nhiều 💋 | 22 |  |  | https://www.facebook.com/photo.php?fbid=2455897228023254&set=pcb.2455899378023039&type=3&__tn__=HH-R&eid=ARBlUcMzGvn1gobePCMpTC1Uyb5oEBA9YczQ264CKy97Zy57ecV2JRZxxY6a4iK5fkyolZ_RrGJtml4f
9/13/19, 5:54 PM | others | Phan Yến Nhi | Ủa rồi riết Shipper ở Sài Gòn nghỉ hết hả ta? Giao hàng tiết kiệm riết như cái khu phức hợp những câu chuyện hề hước vậy. Gửi hàng mới hôm qua ra Bắc, hôm nay khách nhận đc, còn khách ở Sài Gòn 8 ngày rồi chưa nhận đc hàng. Ủa??? Hú hồn chưa? | 119 | 7 |  | 
9/13/19, 3:36 PM | added photo | Phan Yến Nhi added 4 new photos. | Ranh giới giữa xinh đẹp và thiếu sức sống, tươi trẻ và già cỗi nó nằm ở đôi mắt của mình. Dùng kem dưỡng mắt là 1 trong những yếu tố quan trọng giúp mặt tiền của mình trông tươi sáng và tự tin hơn ❤️ Nhiều người đã tin dùng kem mắt Hanco massage tự động và hiệu quả trên cả tuyệt vời 👍 | 52 | 10 |  | https://www.facebook.com/photo.php?fbid=2455692548043722&set=pcb.2455694611376849&type=3&__tn__=HH-R&eid=ARALR3MvA7UoL9r6BXEgR947n0nb6kfCL5i-be7vRvwFYkchkOckrC2RgXbh2xzwsbmuISEf_ff_xUWg
9/13/19, 10:32 AM | added video | Phan Yến Nhi added a new video. | Tóc nó mọc phủ hết cái trán rồi ❤️ La Girl - #350k cho 1 chai 150ml xài hơn 1 tháng là thấy tóc tai um tùm rồi 👌 | 75 | 8 |  | https://www.facebook.com/yennhi.xd
